Quantidade de evadidos por curso e forma de evasão entre 2008 e 2010.,,,,,,,,
,,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
,"13301152 - ADMINISTRAÇÃO (EMPRESA) - D 
(Campina Grande)",CONCLUIDO - NAO COLOU GRAU,0,1,0,0,0,0
,,GRADUADO,25,31,18,17,0,0
,,Total:,25,32,18,17,0,0
,"13301252 - ADMINISTRAÇÃO (EMPRESA) - N 
(Campina Grande)",GRADUADO,18,7,6,6,0,0
,,Total:,18,7,6,6,0,0
,"13301151 - ADMINISTRAÇÃO (PÚBLICA) - D 
(Campina Grande)",GRADUADO,2,1,1,1,0,0
,,Total:,2,1,1,1,0,0
,"13301251 - ADMINISTRAÇÃO (PÚBLICA) - N 
(Campina Grande)",CANCELAMENTO POR ABANDONO,1,0,0,0,0,0
,,Total:,1,0,0,0,0,0
,"13301100 - ADMINISTRAÇÃO - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,2,0,5
,,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,1,0,0,1
,,CANCELADO NOVO INGRESSO OUTRO CURSO,2,0,2,0,1,0
,,CANCELADO REPROVOU TODAS POR FALTAS,0,32,12,7,9,7
,,CANCELAMENTO DE MATRICULA ,5,4,0,2,0,0
,,CANCELAMENTO P/ MUDANCA CURSO,0,8,1,0,2,5
,,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,0,0,1,2
,,CANCELAMENTO POR ABANDONO,46,10,14,8,3,9
,,GRADUADO,0,0,0,1,31,22
,,TRANSFERIDO PARA OUTRA IES,1,0,0,1,2,0
,,Total:,54,55,30,21,49,51
,"13301200 - ADMINISTRAÇÃO - N 
(Campina Grande)",CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,0,0,1
,,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,0,0,0,1
,,CANCELADO REPROVOU TODAS POR FALTAS,0,19,10,6,7,5
,,CANCELAMENTO DE MATRICULA ,1,2,2,1,0,0
,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
"13301200 - ADMINISTRAÇÃO - N 
(Campina Grande)",CANCELAMENTO P/ MUDANCA CURSO,0,1,1,0,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,1,0,0,0,0
,CANCELAMENTO POR ABANDONO,35,4,7,5,4,6
,GRADUADO,0,0,0,0,12,12
,Total:,36,27,20,12,23,25
"31301200 - ADMINISTRAÇÃO - N 
(Sousa)",CANCELADO REPROVOU TODAS POR FALTAS,0,0,0,3,0,5
,Total:,0,0,0,3,0,5
"91402100 - AGRONOMIA - D 
(Pombal)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,2,2
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,1,0,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,0,1,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,9,6,4,9,9
,CANCELAMENTO P/ MUDANCA CURSO,0,1,0,0,2,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,1,0,2,0
,CANCELAMENTO POR ABANDONO,6,3,5,7,8,19
,GRADUADO,4,18,14,8,8,9
,TRANSFERIDO PARA OUTRA IES,0,3,0,0,1,0
,Total:,10,35,27,20,32,40
"13317100 - ARTE E MÍDIA - D 
(Campina Grande)",CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,0,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,4,6,1,3,0
,CANCELAMENTO DE MATRICULA ,0,2,1,1,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,1,0,0,0,0,0
,CANCELAMENTO POR ABANDONO,14,4,4,5,5,3
,GRADUADO,7,10,15,15,6,7
,TRANSFERIDO PARA OUTRA IES,0,0,0,0,1,0
,Total:,22,20,27,22,15,11
,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
"14102100 - CIÊNCIA DA COMPUTAÇÃO - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,6,9,10
,CANCELADO NOVO INGRESSO MESMO CURSO,2,5,3,2,11,2
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,1,0,0,2,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,21,8,4,4,9
,CANCELAMENTO DE MATRICULA ,0,3,1,1,0,0
,CANCELAMENTO P/ MUDANCA CURSO,0,0,3,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,1,2,1,2,1
,CANCELAMENTO POR ABANDONO,17,1,0,6,6,6
,GRADUADO,20,33,18,30,20,22
,TRANSFERIDO PARA OUTRA IES,2,0,0,0,0,1
,Total:,42,65,35,50,55,51
"21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M 
(Cajazeiras)",GRADUADO,10,2,9,5,2,1
,Total:,10,2,9,5,2,1
"21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N 
(Cajazeiras)",GRADUADO,9,4,4,0,3,1
,Total:,9,4,4,0,3,1
"21103114 - CIÊNCIAS - FÍSICA (LIC) - M 
(Cajazeiras)",GRADUADO,0,1,0,0,0,0
,Total:,0,1,0,0,0,0
"21103214 - CIÊNCIAS - FÍSICA (LIC) - N 
(Cajazeiras)",GRADUADO - DECISAO JUDICIAL,0,0,0,1,0,0
,Total:,0,0,0,1,0,0
"21103100 - CIÊNCIAS - M 
(Cajazeiras)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,1,1
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,0,1,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,2,0,1,1,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,8,11,5,4,10
,CANCELAMENTO DE MATRICULA ,1,2,0,1,0,0
,CANCELAMENTO P/ MUDANCA CURSO,2,4,0,0,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,1,0,0,0
,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
"21103100 - CIÊNCIAS - M 
(Cajazeiras)",CANCELAMENTO POR ABANDONO,17,6,1,3,4,7
,Total:,22,20,14,10,11,18
"21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M 
(Cajazeiras)",CANCELAMENTO POR ABANDONO,0,0,0,0,0,1
,GRADUADO,2,3,2,3,2,6
,Total:,2,3,2,3,2,7
"21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N 
(Cajazeiras)",GRADUADO,0,8,0,2,1,4
,Total:,0,8,0,2,1,4
"21103200 - CIÊNCIAS - N 
(Cajazeiras)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,1,1,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,0,0,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,14,11,5,13,13
,CANCELAMENTO DE MATRICULA ,1,0,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,1,0,0,0
,CANCELAMENTO POR ABANDONO,31,3,10,7,1,2
,Total:,32,17,22,13,17,15
"21103115 - CIÊNCIAS - QUÍMICA (LIC) - M 
(Cajazeiras)",GRADUADO,2,3,7,1,0,1
,Total:,2,3,7,1,0,1
"21103215 - CIÊNCIAS - QUÍMICA (LIC) - N 
(Cajazeiras)",GRADUADO,3,0,0,1,0,2
,Total:,3,0,0,1,0,2
"41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Patos)",CANCELADO REPROVOU TODAS POR FALTAS,0,0,0,0,0,5
,Total:,0,0,0,0,0,5
"51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Cuité)",CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,4,2,1,2,3
,CANCELAMENTO P/ MUDANCA CURSO,1,0,5,3,9,5
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,0,0,1,1
,CANCELAMENTO POR ABANDONO,13,1,2,2,3,2
,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
"51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Cuité)",GRADUADO,0,0,0,0,5,5
,Total:,14,5,10,6,21,16
"41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N 
(Patos)",CANCELADO NOVO INGRESSO OUTRO CURSO,1,0,0,1,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,6,8,0,3,2
,CANCELAMENTO P/ MUDANCA CURSO,1,1,0,0,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,1,0,0,1
,CANCELAMENTO POR ABANDONO,7,0,1,1,4,0
,TRANSFERIDO PARA OUTRA IES,0,0,1,0,0,1
,Total:,9,7,11,2,7,4
"51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N 
(Cuité)",CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,2,4,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,7,0,1,0,7
,CANCELAMENTO P/ MUDANCA CURSO,0,0,1,2,6,4
,CANCELAMENTO POR ABANDONO,10,3,0,4,1,1
,Total:,10,11,3,11,8,12
"31360200 - CIÊNCIAS CONTÁBEIS - N 
(Sousa)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,2,5
,CANCELADO NOVO INGRESSO OUTRO CURSO,2,0,1,0,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,17,7,19,6,7
,CANCELAMENTO DE MATRICULA ,0,1,0,0,0,0
,CANCELAMENTO POR ABANDONO,17,8,1,8,6,11
,GRADUADO,14,34,15,28,22,57
,TRANSFERIDO PARA OUTRA IES,0,3,0,0,0,0
,Total:,33,63,24,55,37,80
"13304100 - CIÊNCIAS ECONÔMICAS - M 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,4,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,2,0,3,0,1,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,20,10,7,3,10
,CANCELAMENTO DE MATRICULA ,0,1,0,0,1,0
,,2008.1,2008.2,2009.1,2009.2,2010.1,2010.2
"13304100 - CIÊNCIAS ECONÔMICAS - M 
(Campina Grande)",CANCELAMENTO P/ MUDANCA CURSO,0,2,0,1,1,4
