Quantidade de evadidos por curso e forma de evasão entre 2002 e 2004.,,,,,,,,
,,,2002.1,2002.2,2003.1,2003.2,2004.1,2004.2
,"13301152 - ADMINISTRAÇÃO (EMPRESA) - D 
(Campina Grande)",GRADUADO,25,29,19,27,23,21
,,Total:,25,29,19,27,23,21
,"13301252 - ADMINISTRAÇÃO (EMPRESA) - N 
(Campina Grande)",GRADUADO,0,0,1,4,9,8
,,Total:,0,0,1,4,9,8
,"13301151 - ADMINISTRAÇÃO (PÚBLICA) - D 
(Campina Grande)",GRADUADO,2,0,1,3,3,2
,,TRANSFERIDO PARA OUTRA IES,1,0,0,0,0,0
,,Total:,3,0,1,3,3,2
,"13301251 - ADMINISTRAÇÃO (PÚBLICA) - N 
(Campina Grande)",GRADUADO,0,0,1,0,0,1
,,Total:,0,0,1,0,0,1
,"13301100 - ADMINISTRAÇÃO - D 
(Campina Grande)",CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,1,0,0
,,CANCELAMENTO DE MATRICULA ,1,2,7,4,5,5
,,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,2,0,0
,,CANCELAMENTO P/ SOLICITACAO ALUNO,1,0,0,0,0,0
,,CANCELAMENTO POR ABANDONO,29,18,15,14,15,28
,,TRANSFERIDO PARA OUTRA IES,1,1,0,4,2,2
,,Total:,33,22,22,25,22,35
,"13301200 - ADMINISTRAÇÃO - N 
(Campina Grande)",CANCELAMENTO P/ DECISAO JUDICIAL,0,0,1,0,0,1
,,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,0,1,0,0
,,CANCELAMENTO POR ABANDONO,14,3,7,9,8,15
,,TRANSFERIDO PARA OUTRA IES,0,0,1,2,1,1
,,Total:,14,3,9,12,9,17
,"13317100 - ARTE E MÍDIA - D 
(Campina Grande)",CANCELAMENTO P/ MUDANCA CURSO,1,0,0,0,0,0
,,CANCELAMENTO POR ABANDONO,4,1,4,6,5,9
,,2002.1,2002.2,2003.1,2003.2,2004.1,2004.2
"13317100 - ARTE E MÍDIA - D 
(Campina Grande)",GRADUADO,0,0,8,0,9,3
,Total:,5,1,12,6,14,12
"14102100 - CIÊNCIA DA COMPUTAÇÃO - D 
(Campina Grande)",CANCELADO NOVO INGRESSO MESMO CURSO,0,1,1,0,1,2
,CANCELAMENTO DE MATRICULA ,0,1,1,0,1,3
,CANCELAMENTO P/ DECISAO JUDICIAL,1,0,0,0,0,0
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,2,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,0,1,0,0
,CANCELAMENTO POR ABANDONO,19,6,14,7,13,13
,CUMPRIMENTO CONVENIO,0,0,0,0,2,0
,GRADUADO,12,21,9,17,28,14
,TRANSFERIDO PARA OUTRA IES,0,1,0,0,2,0
,Total:,32,30,25,27,47,32
"21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M 
(Cajazeiras)",GRADUADO,0,5,5,2,4,4
,Total:,0,5,5,2,4,4
